date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-05-06,AP,Mazagão,city,2793,14,True,22053,1600402,12664.94355,0.005
2021-05-06,AP,Oiapoque,city,4980,37,True,27906,1600501,17845.6246,0.0074
2021-05-06,AP,Pedra Branca do Amapari,city,3218,8,True,17067,1600154,18855.10049,0.0025
2021-05-06,AP,Porto Grande,city,1702,20,True,22452,1600535,7580.61643,0.0118
2021-05-06,AP,Pracuúba,city,379,6,True,5246,1600550,7224.55204,0.0158
2021-05-06,AP,Santana,city,23014,127,True,123096,1600600,18695.97712,0.0055
2021-05-06,AP,Serra do Navio,city,1091,5,True,5488,1600055,19879.73761,0.0046
2021-05-06,AP,Tartarugalzinho,city,1882,13,True,17769,1600709,10591.47954,0.0069
2021-05-06,AP,Vitória do Jari,city,3813,25,True,16254,1600808,23458.8409,0.0066
2021-05-06,BA,Abaíra,city,251,10,True,8710,2900108,2881.74512,0.0398
2021-05-06,BA,Abaré,city,737,6,True,20347,2900207,3622.1556,0.0081
2021-05-06,BA,Acajutiba,city,476,13,True,15187,2900306,3134.25956,0.0273
2021-05-06,BA,Adustina,city,633,11,True,17126,2900355,3696.13453,0.0174
2021-05-06,BA,Água Fria,city,149,10,True,17033,2900405,874.7725,0.0671
2021-05-06,BA,Aiquara,city,439,9,True,4416,2900603,9941.12319,0.0205
2021-05-06,BA,Alagoinhas,city,10897,210,True,152327,2900702,7153.6891,0.0193
2021-05-06,BA,Alcobaça,city,1242,20,True,22490,2900801,5522.45442,0.0161
2021-05-06,BA,Almadina,city,587,9,True,5366,2900900,10939.24711,0.0153
2021-05-06,BA,Amargosa,city,2282,46,True,37441,2901007,6094.92268,0.0202
2021-05-06,BA,Amélia Rodrigues,city,1807,37,True,25048,2901106,7214.14883,0.0205
2021-05-06,BA,América Dourada,city,730,7,True,16090,2901155,4536.97949,0.0096
2021-05-06,BA,Anagé,city,763,16,True,21607,2901205,3531.26302,0.021
2021-05-06,BA,Andaraí,city,647,6,True,13132,2901304,4926.89613,0.0093
2021-05-06,BA,Andorinha,city,700,10,True,14503,2901353,4826.5876,0.0143
2021-05-06,BA,Angical,city,465,10,True,13938,2901403,3336.20319,0.0215
2021-05-06,BA,Anguera,city,328,1,True,11297,2901502,2903.42569,0.003
2021-05-06,BA,Antas,city,1053,6,True,19479,2901601,5405.82165,0.0057
2021-05-06,BA,Antônio Cardoso,city,326,7,True,11677,2901700,2791.81297,0.0215
2021-05-06,BA,Antônio Gonçalves,city,658,7,True,11878,2901809,5539.65314,0.0106
2021-05-06,BA,Aporá,city,451,18,True,17788,2901908,2535.41714,0.0399
2021-05-06,BA,Apuarema,city,629,9,True,7302,2901957,8614.07833,0.0143
2021-05-06,BA,Araçás,city,542,7,True,12208,2902054,4439.71166,0.0129
2021-05-06,BA,Aracatu,city,715,13,True,13045,2902005,5481.02721,0.0182
2021-05-06,BA,Araci,city,3194,41,True,54648,2902104,5844.67867,0.0128
2021-05-06,BA,Aramari,city,510,11,True,11461,2902203,4449.87348,0.0216
2021-05-06,BA,Arataca,city,486,13,True,10961,2902252,4433.90202,0.0267
2021-05-06,BA,Aratuípe,city,304,8,True,8837,2902302,3440.08148,0.0263
2021-05-06,BA,Aurelino Leal,city,823,22,True,11299,2902401,7283.83043,0.0267
2021-05-06,BA,Baianópolis,city,472,4,True,13929,2902500,3388.61368,0.0085
2021-05-06,BA,Baixa Grande,city,612,7,True,20449,2902609,2992.81138,0.0114
2021-05-06,BA,Banzaê,city,815,7,True,13240,2902658,6155.58912,0.0086
2021-05-06,BA,Barra,city,1626,31,True,53910,2902708,3016.13801,0.0191
2021-05-06,BA,Barra da Estiva,city,1442,13,True,20392,2902807,7071.40055,0.009
2021-05-06,BA,Barra do Choça,city,1767,27,True,31209,2902906,5661.82832,0.0153
2021-05-06,BA,Barra do Mendes,city,648,10,True,13833,2903003,4684.45023,0.0154
2021-05-06,BA,Barra do Rocha,city,364,4,True,5612,2903102,6486.10121,0.011
2021-05-06,BA,Barreiras,city,13109,191,True,156975,2903201,8351.01131,0.0146
2021-05-06,BA,Barro Alto,city,723,8,True,15054,2903235,4802.71024,0.0111
2021-05-06,BA,Barrocas,city,676,18,True,16105,2903276,4197.45421,0.0266
2021-05-06,BA,Barro Preto,city,549,10,True,5448,2903300,10077.09251,0.0182
2021-05-06,BA,Belmonte,city,890,17,True,23437,2903409,3797.41434,0.0191
2021-05-06,BA,Belo Campo,city,667,9,True,17109,2903508,3898.53294,0.0135
2021-05-06,BA,Biritinga,city,298,6,True,15984,2903607,1864.36436,0.0201
2021-05-06,BA,Boa Nova,city,732,11,True,12329,2903706,5937.22119,0.015
2021-05-06,BA,Boa Vista do Tupim,city,183,4,True,18531,2903805,987.5344,0.0219
2021-05-06,BA,Bom Jesus da Lapa,city,3456,52,True,69662,2903904,4961.09787,0.015
2021-05-06,BA,Bom Jesus da Serra,city,411,8,True,9823,2903953,4184.05782,0.0195
2021-05-06,BA,Boninal,city,568,7,True,14446,2904001,3931.88426,0.0123
2021-05-06,BA,Bonito,city,642,9,True,16884,2904050,3802.41649,0.014
2021-05-06,BA,Boquira,city,459,10,True,21497,2904100,2135.18165,0.0218
2021-05-06,BA,Botuporã,city,188,3,True,10129,2904209,1856.05687,0.016
2021-05-06,BA,Brejões,city,547,8,True,14222,2904308,3846.15385,0.0146
2021-05-06,BA,Brejolândia,city,129,8,True,10618,2904407,1214.91806,0.062
2021-05-06,BA,Brotas de Macaúbas,city,65,1,True,10130,2904506,641.65844,0.0154
2021-05-06,BA,Brumado,city,8207,163,True,67335,2904605,12188.31217,0.0199
2021-05-06,BA,Buerarema,city,1234,37,True,18306,2904704,6740.95925,0.03
2021-05-06,BA,Buritirama,city,776,18,True,21276,2904753,3647.30212,0.0232
2021-05-06,BA,Caatiba,city,720,8,True,6488,2904803,11097.4106,0.0111
2021-05-06,BA,Cabaceiras do Paraguaçu,city,447,4,True,18911,2904852,2363.70366,0.0089
2021-05-06,BA,Cachoeira,city,1245,18,True,33567,2904902,3708.99991,0.0145
2021-05-06,BA,Caculé,city,1317,11,True,23291,2905008,5654.54467,0.0084
2021-05-06,BA,Caém,city,421,7,True,9058,2905107,4647.82513,0.0166
2021-05-06,BA,Caetanos,city,574,9,True,14608,2905156,3929.35378,0.0157
2021-05-06,BA,Caetité,city,1941,21,True,51081,2905206,3799.8473,0.0108
2021-05-06,BA,Cafarnaum,city,757,16,True,18513,2905305,4089.01853,0.0211
2021-05-06,BA,Cairu,city,1033,11,True,18427,2905404,5605.90438,0.0106
2021-05-06,BA,Caldeirão Grande,city,539,6,True,13391,2905503,4025.09148,0.0111
2021-05-06,BA,Camacan,city,2411,62,True,32006,2905602,7532.96257,0.0257
2021-05-06,BA,Camaçari,city,20540,521,True,304302,2905701,6749.87348,0.0254
2021-05-06,BA,Camamu,city,1942,39,True,35382,2905800,5488.66655,0.0201
2021-05-06,BA,Campo Alegre de Lourdes,city,570,19,True,28820,2905909,1977.7932,0.0333
2021-05-06,BA,Campo Formoso,city,3916,48,True,71487,2906006,5477.91906,0.0123
2021-05-06,BA,Canápolis,city,303,3,True,9703,2906105,3122.74554,0.0099
2021-05-06,BA,Canarana,city,1277,24,True,26325,2906204,4850.90218,0.0188
2021-05-06,BA,Canavieiras,city,1013,55,True,30906,2906303,3277.68071,0.0543
